dataset_id,tab_orig,tab_rot,sc_orig,sc_rot,delta_tabpfn,delta_sc,excess,name,n_numeric,stat_rotation_alignment,n_eval_train,d_eval
22,0.26149152428271494,0.2902803627836537,0.5702599933346574,0.5838569148046641,0.028788838500938774,0.013596921470006684,-0.01519191703093209,mfeat-zernike,47.0,1.0501045357790284,1400,47
44,0.130657176666134,0.17168393231129048,0.14333703900323916,0.20064696651772268,0.04102675564515648,0.05730992751448352,0.01628317186932704,spambase,54.0,1.0935610222809584,3220,57
151,0.3744163577067442,0.4449076121532836,0.3996949836782198,0.4655962088220167,0.07049125444653942,0.06590122514379687,-0.004590029302742549,electricity,7.0,1.0496934394639332,4000,8
182,0.26809515565451836,0.2827252882183124,0.3572813097506193,0.39683082715054524,0.01463013256379403,0.03954951739992596,0.02491938483613193,satimage,36.0,0.9593515428818035,4000,36
1053,0.4595462534019185,0.4588819968298467,0.46569961096150875,0.45914606605274744,-0.0006642565720718085,-0.006553544908761311,-0.005889288336689502,jm1,20.0,1.0074984762740538,4000,21
1067,0.32804807924903945,0.3344298268147698,0.34508915434943654,0.347900671942921,0.006381747565730345,0.0028115175934844694,-0.0035702299722458752,kc1,19.0,1.0114627058443655,1476,21
1461,0.2061656958826831,0.21967740828882318,0.22560929860494783,0.2428531647974095,0.013511712406140075,0.017243866192461682,0.003732153786321607,bank-marketing,6.0,0.9874092926066703,4000,16
1462,0.00028843273006796613,0.0005492013285106618,5.5715423926699406e-05,5.011533691766417e-05,0.0002607685984426957,-5.600087009035238e-06,-0.000266368685451731,banknote-authentication,4.0,0.9799651567944251,960,4
1478,0.03995155505840382,0.10548270215022948,0.12046251071191504,0.09995209097494476,0.06553114709182566,-0.02051041973697028,-0.08604156682879593,har,498.0,1.2064055782181324,4000,500
1486,0.14014366803339848,0.16148767313481263,0.17536750248069646,0.18706499166669263,0.021344005101414154,0.011697489185996168,-0.009646515915417986,nomao,50.0,1.0492604062715694,4000,118
1489,0.30060882985344256,0.31614788756857587,0.35335967405312274,0.36765295633895395,0.015539057715133309,0.01429328228583121,-0.0012457754293020984,phoneme,5.0,1.0003659722934526,3782,5
1510,0.11464093288968437,0.11089578814679221,0.18392096161044166,0.1149188684610149,-0.0037451447428921564,-0.06900209314942676,-0.0652569484065346,wdbc,30.0,0.9950843246405954,398,30
4134,0.4861708862523821,0.4888380462660469,0.48739688868771675,0.4973405945519225,0.0026671600136647933,0.009943705864205732,0.007276545850540939,Bioresponse,15.0,1.1822398494713091,2625,500
40982,0.4325537178555217,0.5715312923774893,0.529692841728256,0.6826544861674038,0.13897757452196763,0.15296164443914773,0.013984069917180098,steel-plates-fault,24.0,0.9321767591210509,1358,27
40983,0.04705758422557367,0.04928709965223909,0.0448680787932741,0.04528447503362293,0.0022295154266654196,0.00041639624034883055,-0.001813119186316589,wilt,5.0,1.0332061389148424,3387,5
40996,0.4803595785977451,0.5322364077563183,0.5911653585192784,0.6560201289144652,0.05187682915857322,0.06485477039518672,0.0129779412366135,Fashion-MNIST,500.0,1.0840615115191614,4000,500
44120,0.41247504259687245,0.4593864488609358,0.4458922427945396,0.4855191728753243,0.04691140626406337,0.03962693008078472,-0.007284476183278654,electricity,7.0,1.0509529858600493,4000,7
44121,0.4624587799104451,0.48490572151999656,0.5026812674821577,0.5042507106530006,0.022446941609551463,0.0015694431708429546,-0.02087749843870851,covertype,10.0,1.1520459846530025,4000,10
44123,0.28058842412261886,0.3352473758117764,0.30213218123708674,0.3989045599109695,0.05465895168915752,0.09677237867388278,0.042113426984725255,house_16H,16.0,1.0655348310768107,4000,16
44159,0.43681785285692226,0.4787567444494216,0.4958509267335667,0.5166695265403016,0.04193889159249936,0.02081859980673495,-0.02112029178576441,covertype,10.0,1.1047475152651611,4000,49
45019,0.491729886325657,0.497812758571943,0.5035469755953316,0.5292412125384691,0.0060828722462860085,0.02569423694313755,0.01961136469685154,Bioresponse,169.0,1.1080526748605446,2403,419
45036,0.5557727342078085,0.5633149519377048,0.570386079991805,0.6095430805151825,0.007542217729896272,0.03915700052337745,0.03161478279348118,default-of-credit-card-clients,14.0,1.0341240419551998,4000,21
46908,0.028047957603877783,0.035038048647973746,0.04954002109030239,0.0686335198246796,0.006990091044095963,0.01909349873437722,0.012103407690281256,APSFailure,147.0,1.0013283079170558,4000,169
46910,0.3037061566129697,0.30447671648257507,0.30472493448011734,0.31790582474105494,0.0007705598696053917,0.013180890260937606,0.012410330391332214,bank-marketing,4.0,0.9981729706361976,4000,13
46912,0.5807884303850612,0.5803636998575942,0.5510352708514328,0.5617197229018959,-0.0004247305274670543,0.010684452050463089,0.011109182577930143,Bioresponse,15.0,1.2024712954210963,2625,500
46915,0.16585605068565304,0.19286188043209188,0.18480740862058678,0.213154165792337,0.027005829746438836,0.028346757171750225,0.001340927425311389,churn,14.0,1.0605464209595055,3500,19
46920,0.17814899534733153,0.17607698463607802,0.21818463987208478,0.2303581762865906,-0.0020720107112535135,0.012173536414505831,0.014245547125759345,customer_satisfaction_in_airline,4.0,1.104105784385605,4000,21
46921,0.4800628678981079,0.4961170766419061,0.5219098773837588,0.5436957908380502,0.01605420874379815,0.021785913454291372,0.005731704710493224,diabetes,7.0,1.1084781463928381,537,8
46929,0.18317021744314904,0.19658929760689836,0.1983471320974339,0.20535469602315182,0.01341908016374932,0.007007563925717913,-0.006411516238031406,GiveMeSomeCredit,5.0,0.9925276024051628,4000,10
46932,0.5361151578395076,0.561804189592555,0.5490740540124784,0.5698223688182283,0.025689031753047376,0.0207483148057499,-0.004940716947297474,heloc,14.0,1.0585342342360196,4000,23
46947,0.26261366794631863,0.2688543376426406,0.2651907043678043,0.2785105758899637,0.0062406696963219765,0.01331987152215941,0.007079201825837433,online_shoppers_intention,7.0,1.031240343542868,4000,17
46950,0.10799957388286198,0.18268071937166977,0.120754898603114,0.1956302585478924,0.07468114548880779,0.0748753599447784,0.0001942144559706066,polish_companies_bankruptcy,64.0,1.016106734169705,4000,64
46952,0.2819490444125012,0.28346340098003975,0.3524654153774566,0.3154322602189474,0.0015143565675385662,-0.037033155158509246,-0.03854751172604781,qsar-biodeg,18.0,1.0136336897470501,737,41
46955,0.0757672387606003,0.11621054753045926,0.09120076034200358,0.19504504617137858,0.04044330876985895,0.103844285829375,0.06340097705951604,SDSS17,10.0,1.2665602816857826,4000,11
46962,0.08799398594494187,0.09756259296507137,0.09210171569677778,0.11003521830255046,0.009568607020129502,0.017933502605772686,0.008364895585643184,taiwanese_bankruptcy_prediction,93.0,1.004800078169212,4000,94
46964,0.9747345541219752,0.9971911172960246,1.0375785003479976,1.0491606375376141,0.022456563174049426,0.011582137189616537,-0.01087442598443289,wine_quality,11.0,1.0,4000,12
46979,0.45954195455006425,0.4668517898152739,0.45521759372918413,0.47769715614992764,0.007309835265209674,0.022479562420743504,0.01516972715553383,jm1,20.0,1.009066227457334,4000,21
46980,0.6241311176117879,0.6984121205399756,0.6174783844094401,0.6656781832991261,0.07428100292818773,0.04819979888968595,-0.026081204038501782,MIC,9.0,1.040999704947844,1189,111
